selected,Date,Type,No.,Payee,Category,Total,Approval Status,Action
,02/14/2025,Expense,,Primo Water,--Split--,69.92,,
,02/10/2025,Expense,,PG & E Utilities (Gas & Electric),Utilities,508.33,,
,02/05/2025,Expense,,PG & E Utilities (Gas & Electric),Utilities,448.68,,
,02/03/2025,Expense,,City of Napa Collections (waste),--Split--,144.09,,
,01/17/2025,Expense,,Primo Water,--Split--,40.95,,
,01/10/2025,Expense,,PG & E Utilities (Gas & Electric),Utilities,246.18,,
,01/09/2025,Expense,,PG & E Utilities (Gas & Electric),Utilities,403.23,,
,12/20/2024,Expense,,Primo Water,--Split--,62.43,,
,12/10/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,387.6,,
,12/09/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,37.55,,
,11/22/2024,Expense,,Primo Water,--Split--,77.41,,
,11/06/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,434.82,,
,10/25/2024,Expense,,Primo Water,--Split--,5.99,,
,10/24/2024,Expense,,Primo Water,--Split--,51.44,,
,10/15/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,146.66,,
,10/09/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,582.99,,
,09/27/2024,Expense,,Primo Water,--Split--,5.99,,
,09/26/2024,Expense,,Primo Water,--Split--,28.97,,
,09/06/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,603.52,,
,09/02/2024,Expense,,Recology Vacaville Solano,Utilities,98.71,,
,08/30/2024,Expense,,Primo Water,--Split--,5.99,,
,08/27/2024,Expense,,Primo Water,--Split--,28.97,,
,08/08/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,713,,
,08/07/2024,Expense,,,Utilities,478.74,,
,08/07/2024,Expense,,Recology Vacaville Solano,Utilities,98.71,,
,08/02/2024,Expense,,Primo Water,--Split--,4.99,,
,08/01/2024,Expense,,Primo Water,--Split--,28.97,,
,07/26/2024,Expense,,T-Mobile,--Split--,27.02,,
,07/26/2024,Expense,,T-Mobile,--Split--,292.29,,
,07/11/2024,Expense,,Primo Water,--Split--,28.97,,
,07/10/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,570.31,,
,07/05/2024,Expense,,Primo Water,--Split--,4.99,,
,07/05/2024,Expense,,Recology Vacaville Solano,Utilities,98.71,,
,06/11/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,397.81,,
,06/07/2024,Expense,,Recology Vacaville Solano,Utilities,98.71,,
,06/07/2024,Expense,,Primo Water,--Split--,4.99,,
,06/06/2024,Expense,,Primo Water,--Split--,28.97,,
,05/10/2024,Expense,,Primo Water,--Split--,4.99,,
,05/09/2024,Expense,,PG & E Utilities (Gas & Electric),Utilities,320.06,,
,05/06/2024,Expense,,Recology Vacaville Solano,Utilities,98.71,,
,04/15/2025,Expense,,Digital Stitchz,--Split--,89.73,,
,04/01/2025,Expense,,FIGS Scrubs,--Split--,281.55,,
,03/14/2025,Expense,,Digital Stitchz,--Split--,89.73,,
,02/28/2025,Expense,,FIGS Scrubs,Uniforms,279.61,,
,02/06/2025,Expense,,Digital Stitchz,--Split--,112.17,,
,01/31/2025,Expense,,Ross,--Split--,10.8,,
,01/15/2025,Expense,,FIGS Scrubs,Uniforms,466.02,,
,11/26/2024,Expense,,Digital Stitchz,Uniforms,178.82,,
,11/21/2024,Expense,,Digital Stitchz,--Split--,43.35,,
,11/12/2024,Expense,,FIGS Scrubs,Uniforms,1118.45,,
,10/24/2024,Expense,,Digital Stitchz,--Split--,19.51,,
,10/16/2024,Expense,,FIGS Scrubs,--Split--,82.37,,
,10/09/2024,Expense,,Digital Stitchz,--Split--,117.04,,
,09/17/2024,Expense,,Digital Stitchz,--Split--,277.44,,
,09/11/2024,Expense,,FIGS Scrubs,--Split--,106.21,,
,08/30/2024,Expense,,FIGS Scrubs,--Split--,679.7,,
,08/28/2024,Expense,,,--Split--,50,,
,07/22/2024,Expense,,Digital Stitchz,--Split--,58.52,,
,07/12/2024,Expense,,Ross,--Split--,15.12,,
,07/03/2024,Expense,,FIGS Scrubs,--Split--,185.98,,
,06/20/2024,Expense,,Digital Stitchz,--Split--,58.52,,
,06/11/2024,Expense,,FIGS Scrubs,--Split--,237.12,,
,05/10/2024,Expense,,,--Split--,234.09,,
,04/26/2024,Expense,,,--Split--,1102.23,,
,04/19/2025,Expense,,Tesla,Auto Expense,19.42,,
,04/01/2025,Expense,,Airgas - West,--Split--,619.36,,
,03/23/2025,Expense,,Tesla,Auto Expense,5.44,,
,03/02/2025,Expense,,Tesla,Auto Expense,9.3,,
,02/26/2025,Expense,,Airgas - West,--Split--,1918.94,,
,02/18/2025,Expense,,Airgas - West,--Split--,547.71,,
,01/29/2025,Expense,,Airgas - West,--Split--,330.42,,
,01/15/2025,Expense,,Stewart Design,Auto Expense,735.8,,
,01/08/2025,Expense,,Stewart Design,Auto Expense,1812.4,,
,12/03/2024,Expense,,Airgas - West,--Split--,791.1,,
,12/03/2024,Expense,,Airgas - West,--Split--,130.26,,
,12/02/2024,Expense,,Stewart Design,Auto Expense,861.25,,
,11/19/2024,Expense,,Airgas - West,Auto Expense,320.88,,
,11/19/2024,Expense,,Airgas - West,Auto Expense,123.8,,
,11/10/2024,Expense,,Quick Quack,Auto Expense,35.99,,
,10/16/2024,Expense,,Stewart Design,Auto Expense,132.5,,
,10/10/2024,Expense,,Quick Quack,Auto Expense,35.99,,
,09/30/2024,Expense,,Stewart Design,Auto Expense,265,,
,09/30/2024,Expense,,Stewart Design,Auto Expense,265,,
,09/10/2024,Expense,,Quick Quack,Auto Expense,35.99,,
,08/29/2024,Expense,,Airgas - West,--Split--,697.58,,
,08/10/2024,Expense,,Quick Quack,Auto Expense,35.99,,
,07/30/2024,Expense,,Stewart Design,Auto Expense,728.75,,
,07/27/2024,Expense,,Chevron,--Split--,20.67,,
,07/11/2024,Expense,,Stewart Design,Auto Expense,252.9,,
,07/10/2024,Expense,,Quick Quack,Auto Expense,35.99,,
,07/10/2024,Expense,,Tesla,Auto Expense,15.4,,
,07/08/2024,Expense,,Airgas - West,Auto Expense,291.01,,
,06/10/2024,Expense,,Quick Quack,Auto Expense,35.99,,
,06/06/2024,Expense,,Airgas - West,Auto Expense,958.01,,
,05/10/2024,Expense,,Quick Quack,Auto Expense,35.99,,
,05/10/2024,Expense,,Tesla,Auto Expense,19.8,,
,05/07/2024,Expense,,Stewart Design,Auto Expense,1435.2,,
,05/07/2024,Expense,,Tesla,Auto Expense,23.32,,
,05/02/2024,Expense,,Tesla,Auto Expense,601.41,,
,03/15/2025,Expense,,United Airlines,Travel,8,,
,03/04/2025,Expense,,United Airlines,Travel,8,,
,11/24/2024,Expense,,,Travel,412,,
,11/23/2024,Expense,,SWA Inflight Wi-Fi,Travel,8,,
,10/17/2024,Expense,,Hyatt,Travel,3.25,,
,08/19/2024,Expense,,SWA Inflight Wi-Fi,Travel,8,,
,08/18/2024,Expense,,SWA Inflight Wi-Fi,Travel,8,,
,08/12/2024,Expense,,SWA Inflight Wi-Fi,Travel,8,,
,08/06/2024,Expense,,SWA Inflight Wi-Fi,Travel,8,,
,03/17/2025,Expense,,GP Wellness LLC (womens healing group),Training & Conferences,5000,,
,03/15/2025,Expense,,American Board of Family Medicine,Training & Conferences,200,,
,09/26/2024,Expense,,GP Wellness LLC (womens healing group),Training & Conferences,1500,,
,08/26/2024,Expense,,,Training & Conferences,5000,,
,08/19/2024,Expense,,Education - OMA Physician Health Program,Training & Conferences,35,,
,08/09/2024,Expense,,,Training & Conferences,1750,,
,07/09/2024,Expense,,GP Wellness LLC (womens healing group),Training & Conferences,3000,,
,05/20/2024,Expense,,GP Wellness LLC (womens healing group),Training & Conferences,5300,,
,05/07/2024,Expense,,GP Wellness LLC (womens healing group),Training & Conferences,500,,
,05/07/2024,Expense,,American Med Spa Association,Training & Conferences,575,,
,05/07/2024,Expense,,American Med Spa Association,Training & Conferences,450,,
,05/27/2024,Expense,,Verizon,Telephone,1169.85,,
,05/24/2024,Expense,,Twilio,Telephone,30.46,,
,04/30/2024,Expense,,RingCentral,Telephone,20,,
,04/20/2025,Expense,,Mutual Protection Trust,"Technology, Internet & Security",437.75,,
,04/01/2025,Expense,,Comcast California,"Technology, Internet & Security",172.28,,
,03/28/2025,Expense,,Comcast California,"Technology, Internet & Security",273.04,,
,03/26/2025,Expense,,Vivint,"Technology, Internet & Security",16.52,,
,03/21/2025,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,03/20/2025,Expense,,Mutual Protection Trust,"Technology, Internet & Security",441.87,,
,03/01/2025,Expense,,Comcast California,"Technology, Internet & Security",172.28,,
,02/28/2025,Expense,,Comcast California,"Technology, Internet & Security",273.04,,
,02/25/2025,Expense,,AutoFortiva,"Technology, Internet & Security",27.03,,
,02/21/2025,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,02/20/2025,Expense,,Mutual Protection Trust,"Technology, Internet & Security",445.99,,
,02/14/2025,Expense,,Mutual Protection Trust,--Split--,628.3,,
,02/02/2025,Expense,,Comcast California,"Technology, Internet & Security",172.28,,
,01/28/2025,Expense,,Comcast California,"Technology, Internet & Security",273.04,,
,01/24/2025,Expense,,AutoFortiva,"Technology, Internet & Security",27.03,,
,01/21/2025,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,01/20/2025,Expense,,Mutual Protection Trust,"Technology, Internet & Security",862.11,,
,01/07/2025,Expense,,"Major Alarm, Inc","Technology, Internet & Security",31.5,,
,01/07/2025,Expense,,"Major Alarm, Inc","Technology, Internet & Security",31.5,,
,01/07/2025,Expense,,"Major Alarm, Inc","Technology, Internet & Security",31.5,,
,01/03/2025,Expense,,Comcast California,"Technology, Internet & Security",165.12,,
,12/24/2024,Expense,,AutoFortiva,"Technology, Internet & Security",27,,
,12/23/2024,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,12/17/2024,Expense,,Comcast California,"Technology, Internet & Security",551,,
,12/03/2024,Expense,,Comcast California,"Technology, Internet & Security",165.12,,
,11/26/2024,Expense,,Vivint,"Technology, Internet & Security",2055.29,,
,11/25/2024,Expense,,AutoFortiva,"Technology, Internet & Security",41.94,,
,11/21/2024,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,11/06/2024,Expense,,Vivint,"Technology, Internet & Security",971.81,,
,11/02/2024,Expense,,Comcast California,"Technology, Internet & Security",165.12,,
,10/24/2024,Expense,,AutoFortiva,"Technology, Internet & Security",41.94,,
,10/21/2024,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,10/20/2024,Expense,,Mutual Protection Trust,"Technology, Internet & Security",305.91,,
,10/02/2024,Expense,,Comcast California,"Technology, Internet & Security",165.12,,
,09/24/2024,Expense,,AutoFortiva,"Technology, Internet & Security",41.94,,
,09/23/2024,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,09/20/2024,Expense,,Mutual Protection Trust,"Technology, Internet & Security",307.97,,
,09/02/2024,Expense,,Comcast California,"Technology, Internet & Security",165.12,,
,08/26/2024,Expense,,AutoFortiva,"Technology, Internet & Security",41.94,,
,08/21/2024,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,08/20/2024,Expense,,Mutual Protection Trust,"Technology, Internet & Security",126,,
,08/20/2024,Expense,,Mutual Protection Trust,"Technology, Internet & Security",311.06,,
,08/02/2024,Expense,,Comcast California,"Technology, Internet & Security",165.12,,
,07/24/2024,Expense,,AutoFortiva,"Technology, Internet & Security",41.94,,
,07/22/2024,Expense,,Mutual Protection Trust,"Technology, Internet & Security",120,,
,07/22/2024,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,07/20/2024,Expense,,Mutual Protection Trust,"Technology, Internet & Security",634.48,,
,07/02/2024,Expense,,Comcast California,"Technology, Internet & Security",150.12,,
,06/25/2024,Expense,,AutoFortiva,"Technology, Internet & Security",41.94,,
,06/21/2024,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,06/02/2024,Expense,,Comcast California,"Technology, Internet & Security",150.12,,
,05/24/2024,Expense,,AutoFortiva,"Technology, Internet & Security",41.94,,
,05/21/2024,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,05/20/2024,Expense,,Mutual Protection Trust,"Technology, Internet & Security",300,,
,05/02/2024,Expense,,Comcast California,"Technology, Internet & Security",150.12,,
,04/24/2024,Expense,,AutoFortiva,"Technology, Internet & Security",41.94,,
,04/22/2024,Expense,,Vivint,"Technology, Internet & Security",31.47,,
,04/01/2025,Expense,Pawne 04-15-2025,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,03/01/2025,Expense,Pawne 03-15-2025,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,02/01/2025,Expense,Pawne 02-15-2025,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,01/01/2025,Expense,Pawne 01-15-2025,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,12/15/2024,Expense,Pawnee 12-15-24,Pawne Fund III (Tandem Finance),--Split--,0,,
,12/01/2024,Expense,,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,11/01/2024,Expense,,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,10/01/2024,Expense,Tandem10-15-23,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,10/01/2024,Expense,,Pawne Fund III (Tandem Finance),Tandem(Pawne) Equip Loan - LT Portion,0,,
,09/01/2024,Expense,Tandem09-01-24,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,08/01/2024,Expense,TEquipLAug 2024,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,07/01/2024,Expense,TL 7-14-24,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,07/01/2024,Expense,,Pawne Fund III (Tandem Finance),Tandem(Pawne) Equip Loan - LT Portion,0,,
,06/01/2024,Expense,TF 6-1-24,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,05/01/2024,Expense,TF05-01-24,Pawne Fund III (Tandem Finance),--Split--,2604.08,,
,04/18/2025,Expense,,Amazon,--Split--,15.14,,
,04/13/2025,Expense,,Amazon,--Split--,49.55,,
,04/12/2025,Expense,,Amazon,Supplies - G&A,416.72,,
,04/10/2025,Expense,,Amazon,Supplies - G&A,35,,
,04/10/2025,Expense,,Home Depot,--Split--,36.87,,
,04/09/2025,Expense,,Amazon,--Split--,175.41,,
,04/06/2025,Expense,,Amazon,--Split--,237.86,,
,04/01/2025,Credit Card Credit,,Amazon,--Split--,-75.68,,
,03/30/2025,Expense,,Amazon,--Split--,24.72,,
,03/28/2025,Expense,,Amazon,Supplies - G&A,144.63,,
,03/27/2025,Expense,,Amazon,--Split--,67.17,,
,03/27/2025,Expense,,Amazon,--Split--,24.97,,
,03/25/2025,Expense,,Amazon,--Split--,91.71,,
,03/25/2025,Expense,,Amazon,--Split--,90.8,,
,03/25/2025,Expense,,Amazon,--Split--,179.14,,
,03/25/2025,Expense,,Amazon,--Split--,28.31,,
,03/19/2025,Expense,,Amazon,--Split--,149.96,,
,03/18/2025,Expense,,Amazon,--Split--,279.88,,
,03/18/2025,Expense,,Amazon,Supplies - G&A,7.25,,
,03/15/2025,Expense,,Amazon,Supplies - G&A,31.23,,
,03/15/2025,Expense,,Amazon,Supplies - G&A,22.68,,
,03/14/2025,Expense,,Amazon,--Split--,234.68,,
,03/14/2025,Expense,,Amazon,--Split--,8.61,,
,03/14/2025,Expense,,Amazon,--Split--,28.74,,
,03/14/2025,Expense,,Amazon,--Split--,29.06,,
,03/11/2025,Expense,,Amazon,--Split--,48.57,,
,03/11/2025,Expense,,Amazon,--Split--,75.68,,
,03/07/2025,Expense,,Amazon,--Split--,159.9,,
,03/05/2025,Expense,,Walmart,--Split--,127.04,,
,03/05/2025,Credit Card Credit,,Amazon,--Split--,-35.67,,
,03/05/2025,Expense,,Amazon,--Split--,159.2,,
,03/05/2025,Expense,,Amazon,--Split--,129.75,,
,03/04/2025,Expense,,Amazon,Supplies - G&A,86.05,,
,03/04/2025,Expense,,Amazon,Supplies - G&A,40.92,,
,03/03/2025,Expense,,Amazon,--Split--,16.66,,
,03/02/2025,Expense,,Amazon,--Split--,129.4,,
,02/28/2025,Expense,,Amazon,--Split--,16.95,,
,02/26/2025,Expense,,Amazon,--Split--,52.82,,
,02/26/2025,Expense,,Amazon,--Split--,30.39,,
,02/26/2025,Expense,,Amazon,--Split--,154.48,,
,02/26/2025,Expense,,Amazon,--Split--,44.05,,
,02/26/2025,Expense,,Amazon,--Split--,104.86,,
,02/22/2025,Expense,,Amazon,--Split--,35.67,,
,02/20/2025,Expense,,Amazon,--Split--,82.6,,
,02/20/2025,Expense,,Amazon,--Split--,45.4,,
,02/18/2025,Expense,,Amazon,Supplies - G&A,311.27,,
,02/18/2025,Expense,,Amazon,--Split--,28.69,,
,02/18/2025,Expense,,Amazon,--Split--,75.53,,
,02/18/2025,Expense,,Amazon,--Split--,42.36,,
,02/14/2025,Expense,,Costco,--Split--,86.42,,
,02/13/2025,Expense,,Lucky,Supplies - G&A,13.98,,
,02/13/2025,Expense,,Costco,--Split--,204.38,,
,02/13/2025,Expense,,Amazon,--Split--,36.92,,
,02/13/2025,Expense,,Amazon,--Split--,32.4,,
,02/11/2025,Expense,,Amazon,Supplies - G&A,218.46,,
,02/11/2025,Expense,,Amazon,Supplies - G&A,118.16,,
,02/11/2025,Expense,,Amazon,Supplies - G&A,24.63,,
,02/10/2025,Expense,,Amazon,Supplies - G&A,312.48,,
,02/10/2025,Expense,,Amazon,--Split--,122.86,,
,02/07/2025,Expense,,Amazon,Supplies - G&A,18.31,,
,02/07/2025,Expense,,Amazon,--Split--,52.96,,
,02/06/2025,Expense,,Sam's Club,--Split--,112.32,,
,02/06/2025,Expense,,Target,--Split--,46.36,,
,02/05/2025,Expense,,Amazon,Supplies - G&A,26.85,,
,02/05/2025,Expense,,Amazon,--Split--,8.39,,
,02/04/2025,Expense,,Amazon,Supplies - G&A,38.76,,
,02/04/2025,Expense,,Amazon,--Split--,192.9,,
,02/04/2025,Expense,,Amazon,--Split--,15.11,,
,02/04/2025,Expense,,Amazon,--Split--,23.99,,
,02/03/2025,Expense,,Amazon,--Split--,32.43,,
,02/02/2025,Expense,,Amazon,--Split--,14.59,,
,02/01/2025,Expense,,Amazon,Supplies - G&A,183.61,,
,02/01/2025,Expense,,Amazon,Supplies - G&A,34.46,,
,01/31/2025,Expense,,Amazon,--Split--,132.69,,
,01/31/2025,Expense,,Target,--Split--,47.68,,
,01/30/2025,Expense,,Amazon,Supplies - G&A,31.84,,
,01/30/2025,Expense,,Amazon,Supplies - G&A,14,,
,01/29/2025,Expense,,Amazon,Supplies - G&A,140.06,,
,01/29/2025,Expense,,Amazon,--Split--,24.72,,
,01/28/2025,Expense,,Amazon,Supplies - G&A,273.47,,
,01/28/2025,Expense,,Amazon,Supplies - G&A,132.4,,
,01/28/2025,Expense,,Amazon,Supplies - G&A,119.05,,
,01/28/2025,Expense,,Amazon,Supplies - G&A,61.36,,
,01/28/2025,Expense,,Amazon,Supplies - G&A,43.09,,
,01/28/2025,Expense,,Amazon,Supplies - G&A,42,,
,01/22/2025,Expense,,Amazon,--Split--,34.59,,
,01/21/2025,Expense,,Amazon,--Split--,190.76,,
,01/21/2025,Expense,,Amazon,--Split--,18.44,,
,01/19/2025,Expense,,Amazon,Supplies - G&A,75.08,,
,01/19/2025,Expense,,Amazon,--Split--,15.14,,
,01/17/2025,Expense,,Amazon,Supplies - G&A,200.56,,
,01/14/2025,Expense,,Amazon,--Split--,279.12,,
,01/13/2025,Expense,,Amazon,Supplies - G&A,272.49,,
,01/13/2025,Expense,,Target,Supplies - G&A,96.82,,
,01/13/2025,Expense,,Home Depot,Supplies - G&A,36.87,,
,01/13/2025,Expense,,Costco,--Split--,129.78,,
,01/10/2025,Expense,,Amazon,--Split--,45.4,,
,01/09/2025,Expense,,,Supplies - G&A,7.99,,
,01/08/2025,Expense,,Amazon,Supplies - G&A,43.82,,
,01/08/2025,Expense,,Amazon,Supplies - G&A,35.64,,
,01/08/2025,Expense,,Amazon,Supplies - G&A,150.53,,
,01/08/2025,Expense,,Amazon,--Split--,103.84,,
,01/08/2025,Expense,,Amazon,--Split--,64.88,,
,01/07/2025,Expense,,Amazon,--Split--,35.62,,
,01/07/2025,Expense,,Amazon,--Split--,157.28,,
,01/07/2025,Expense,,Amazon,--Split--,29.87,,
,01/06/2025,Expense,,Amazon,--Split--,51.3,,
,01/06/2025,Expense,,Amazon,--Split--,23.48,,
,01/03/2025,Expense,,Amazon,--Split--,8.01,,
,01/02/2025,Expense,,Amazon,--Split--,321.92,,
,01/02/2025,Expense,,Amazon,--Split--,243.4,,
,12/18/2024,Expense,,Target,--Split--,157.4,,
,12/18/2024,Expense,,Amazon,--Split--,19.45,,
,12/18/2024,Expense,,Amazon,--Split--,74.29,,
,12/18/2024,Expense,,Amazon,--Split--,60.76,,
,12/17/2024,Expense,,Amazon,--Split--,14.98,,
,12/16/2024,Expense,,Amazon,Supplies - G&A,28.99,,
,12/16/2024,Expense,,Amazon,Supplies - G&A,391.23,,
,12/16/2024,Expense,,Amazon,Supplies - G&A,50.28,,
,12/16/2024,Expense,,Amazon,Supplies - G&A,47.35,,
,12/15/2024,Expense,,Amazon,--Split--,23.67,,
,12/13/2024,Expense,,Amazon,--Split--,73.51,,
,12/13/2024,Expense,,Amazon,--Split--,51.12,,
,12/12/2024,Expense,,Amazon,Supplies - G&A,75.68,,
,12/11/2024,Expense,,Amazon,Supplies - G&A,434.58,,
,12/10/2024,Expense,,Amazon,--Split--,59.94,,
,12/10/2024,Expense,,Amazon,--Split--,135,,
,12/09/2024,Expense,,Amazon,--Split--,60.32,,
,12/09/2024,Expense,,Amazon,--Split--,17.5,,
,12/09/2024,Expense,,Amazon,Supplies - G&A,26.72,,
,12/09/2024,Expense,,Walmart,--Split--,126.03,,
,12/08/2024,Expense,,Amazon,Supplies - G&A,724.73,,
,12/08/2024,Expense,,Amazon,Supplies - G&A,140.06,,
,12/08/2024,Expense,,Amazon,Supplies - G&A,10.33,,
,12/08/2024,Expense,,Amazon,Supplies - G&A,104.52,,
,12/05/2024,Expense,,Amazon,--Split--,104.73,,
,12/05/2024,Expense,,Amazon,Supplies - G&A,43.24,,
,12/04/2024,Expense,,Amazon,--Split--,43.68,,
,12/04/2024,Expense,,Amazon,--Split--,17.22,,
,11/30/2024,Expense,,Home Depot,Supplies - G&A,95.06,,
,11/30/2024,Expense,,Home Depot,Supplies - G&A,24.74,,
,11/30/2024,Expense,,Amazon,Supplies - G&A,415.44,,
,11/30/2024,Expense,,Amazon,--Split--,527.38,,
,11/29/2024,Expense,,Amazon,Supplies - G&A,450.87,,
,11/28/2024,Expense,,Amazon,--Split--,17.28,,
,11/27/2024,Credit Card Credit,,Amazon,Supplies - G&A,-213.66,,
,11/27/2024,Expense,,Amazon,Supplies - G&A,148.13,,
,11/27/2024,Expense,,Amazon,Supplies - G&A,145,,
,11/27/2024,Expense,,Amazon,--Split--,32.04,,
,11/26/2024,Expense,,Amazon,Supplies - G&A,284.04,,
,11/26/2024,Expense,,Amazon,Supplies - G&A,568.08,,
,11/26/2024,Expense,,Amazon,Supplies - G&A,18.37,,
,11/24/2024,Expense,,Amazon,Supplies - G&A,48.84,,
,11/24/2024,Expense,,Walmart,Supplies - G&A,81.15,,
,11/22/2024,Expense,,Amazon,Supplies - G&A,44.65,,
,11/21/2024,Expense,,,Supplies - G&A,9.99,,
,11/21/2024,Expense,,Amazon,Supplies - G&A,34.68,,
,11/20/2024,Expense,,Home Depot,Supplies - G&A,26.91,,
,11/20/2024,Expense,,Target,Supplies - G&A,40.9,,
,11/19/2024,Expense,,Amazon,Supplies - G&A,221.49,,
,11/18/2024,Expense,,Target,Supplies - G&A,143.56,,
,11/18/2024,Expense,,Amazon,Supplies - G&A,86.19,,
,11/18/2024,Expense,,Amazon,Supplies - G&A,111.05,,
,11/18/2024,Expense,,Amazon,Supplies - G&A,25.85,,
,11/18/2024,Expense,,Amazon,Supplies - G&A,21.54,,
,11/18/2024,Expense,,Amazon,Supplies - G&A,477.91,,
,11/17/2024,Expense,,Amazon,Supplies - G&A,113.43,,
,11/17/2024,Expense,,Amazon,Supplies - G&A,113.12,,
,11/17/2024,Expense,,Amazon,Supplies - G&A,37.45,,
,11/17/2024,Expense,,Amazon,Supplies - G&A,80.68,,
,11/17/2024,Expense,,Amazon,Supplies - G&A,290.91,,
,11/17/2024,Expense,,Amazon,Supplies - G&A,29.08,,
,11/16/2024,Expense,,,Supplies - G&A,29,,
,11/16/2024,Expense,,Target,--Split--,115.41,,
,11/15/2024,Expense,,,Supplies - G&A,224.74,,
,11/15/2024,Expense,,,Supplies - G&A,174.8,,
,11/15/2024,Expense,,Zeller's Ace Hardware,Supplies - G&A,21.53,,
,11/15/2024,Expense,,Amazon,--Split--,21.19,,
,11/15/2024,Expense,,Amazon,--Split--,31.35,,
,11/15/2024,Expense,,Amazon,--Split--,51.88,,
,11/14/2024,Expense,,Walmart,Supplies - G&A,283.69,,
,11/14/2024,Expense,,Amazon,Supplies - G&A,97.49,,
,11/14/2024,Expense,,Amazon,--Split--,180.72,,
,11/14/2024,Expense,,Amazon,--Split--,60.67,,
